,AGO,BOL,BRA,BDI,ECU,IDN,MDG,MWI,PNG,PRY,PER,RWA,TLS,ZWE,COG,CUB,DOM,HTI,PHL,TZA,ZMB,BEN,CMR,CAF,COL,COD,CRI,CIV,SLV,GNQ,ETH,GAB,GHA,GTM,GIN,GUY,HND,IND,JAM,KEN,LAO,LBR,MEX,NPL,NIC,NGA,PAN,SLE,LKA,THA,TGO,TTO,UGA,VEN,VNM,YEM
1934,89.059715,92.79506,148.32364,86.74737,191.92268,242.87398,114.93644,100.15317,264.87015,74.752365,130.25812,89.33125,120.76964,56.94292,134.73882,103.155716,132.35323,127.777916,271.91443,82.76491,89.79376,98.78611,133.15274,121.82613,221.87834,120.08315,285.13855,116.65192,124.410255,205.62402,61.81131,167.9678,108.165504,184.17128,154.70639,160.98386,151.1637,93.89046,181.75417,45.036423,160.61548,216.5365,51.73594,116.48842,175.91093,102.39703,270.9196,256.5108,134.27206,141.59488,105.67857,119.895,84.39296,154.69913,162.51964,13.50013
1935,79.76726,87.78214,147.14651,88.74298,172.79921,233.10886,131.04416,80.09953,266.5715,89.900856,124.2101,88.94323,126.22678,39.131126,146.97353,94.54107,126.06317,128.22874,193.33131,83.38342,73.36134,99.61389,135.98674,112.8901,225.34921,124.98753,246.97812,126.77346,158.56667,186.46765,65.196144,175.39616,110.39502,199.52248,148.45871,177.83669,149.82352,85.55681,161.475,50.66085,147.37843,226.91216,61.281555,113.091774,199.93423,98.46887,209.91068,266.7016,163.08896,151.85391,103.265236,143.115,93.45591,154.80899,153.93655,13.984154
1936,73.98694,85.520584,135.29428,100.614914,143.87521,241.95686,115.70036,97.404465,308.16333,83.30819,110.01831,100.96562,110.4637,62.031178,130.60786,136.54108,132.00134,161.45625,205.1222,97.53126,89.95102,81.958626,133.49648,116.290855,198.13315,127.54832,212.37265,118.36531,180.9205,150.76422,69.46825,136.65744,89.536606,267.7503,164.36823,195.79192,197.4302,96.883026,226.525,60.191414,130.90665,202.1635,64.86176,153.19807,213.14323,99.20966,190.62752,236.12094,138.0571,127.63999,86.94595,131.28334,92.723625,152.60953,145.74397,13.925821
1937,88.6219,87.40233,149.95459,114.5,155.37239,240.6062,127.82063,77.23697,254.28789,77.9831,111.19908,121.9849,130.00655,50.113457,139.38861,105.26143,118.47124,126.07833,202.391,91.17459,80.24489,81.73611,122.236,111.58258,211.95488,128.88864,278.0771,122.784386,172.025,171.89706,65.56612,154.23761,91.93652,241.95908,153.27277,209.74287,199.9451,86.218216,215.38416,64.83944,136.34201,198.31233,56.175518,108.31616,247.37473,93.43661,231.6033,226.39548,128.875,140.74884,86.35928,100.60333,103.38479,159.79118,142.61542,13.860881
1938,84.26419,86.375786,142.32962,82.74167,184.48593,243.1578,114.67609,80.51362,260.16876,83.09839,120.67189,89.42396,128.92203,57.77224,124.45116,98.68227,104.61586,109.96041,212.23584,75.30491,80.47309,75.957016,124.7738,113.279625,254.4711,118.69563,310.15912,127.59697,158.01666,182.11667,59.291084,139.43777,94.69572,200.3369,161.46674,242.9694,164.64285,93.97714,158.52417,48.315086,152.46246,205.14116,54.814217,146.26505,235.0448,94.07099,261.57693,245.34077,120.9777,155.69136,81.200714,132.19167,85.47217,177.30215,154.35278,13.63817
1939,78.487854,89.64032,142.01704,89.56711,158.27145,232.84982,132.49422,91.51549,281.37637,107.495834,123.88466,100.36146,155.75238,79.38866,142.25412,96.42714,119.102684,118.005005,233.78352,76.0143,91.42105,90.551315,132.18214,119.57735,204.34502,130.31119,221.99532,115.39754,130.76474,187.14853,57.38982,162.89354,99.650856,198.2942,150.43594,171.99673,138.73215,86.87992,194.34917,43.707687,142.47472,202.622,52.948547,123.71504,161.78307,107.182236,224.92403,224.37253,136.34608,140.02274,96.30309,121.88334,81.53883,131.77386,154.99109,13.682426
1940,74.540436,84.33299,146.67441,92.76228,152.04181,205.09778,119.79253,87.034386,256.45416,103.3972,128.56203,94.45261,111.49404,57.77354,126.62791,108.13988,125.679565,121.53833,191.12144,89.39525,81.42952,89.76433,125.54823,110.601036,206.74394,124.265274,209.74817,117.466415,148.05064,155.99706,58.734093,138.19835,98.49205,215.96667,139.61235,140.80215,170.37471,89.102325,191.80583,58.60959,110.92275,191.45683,47.59591,116.56494,186.18658,99.467354,212.51181,214.43423,128.1821,125.36436,93.97833,115.81,96.75267,123.41508,133.37639,13.49646
1941,71.09505,89.30856,137.62048,103.74736,154.63768,216.71939,128.69235,82.06151,211.42107,93.834854,124.82231,112.129684,137.34048,50.73715,123.41097,91.41262,120.58441,115.85292,195.83981,88.64276,85.40769,87.33816,125.85177,118.719864,189.17528,124.92045,230.78255,127.14172,143.84616,158.1848,61.886955,128.85129,105.25023,212.59717,140.50021,178.95996,174.48125,81.73415,147.67416,60.007866,137.52052,201.32167,60.85036,108.13069,200.11119,98.75209,201.75659,220.93266,164.10931,139.95795,94.817856,125.73,103.8589,136.90326,156.17496,13.554491
1942,70.59248,90.393814,137.89311,90.63158,144.1937,236.17758,104.58479,76.53885,245.81258,87.78674,104.6672,95.64219,125.5387,45.24227,122.36055,132.42154,152.27768,177.26,195.96635,87.7137,75.15156,73.3519,130.39146,115.7043,205.2251,119.36981,272.11356,109.677284,139.85129,162.42647,59.92502,120.94197,98.02258,211.54346,141.9317,210.97964,186.95804,95.19385,248.12834,51.552837,145.36702,178.18784,57.026314,132.80508,220.9345,91.94832,222.38663,224.32431,148.01839,159.99808,81.79619,127.85834,100.175644,180.54843,151.20657,13.630095
1943,79.64064,83.86678,147.32219,83.74342,185.94717,236.55168,108.342064,74.35575,300.67618,92.29375,129.47934,84.066666,125.65238,61.13183,119.40543,102.84988,125.33199,133.82709,197.28513,68.12509,82.012794,83.75761,125.66614,117.72093,228.02596,115.43642,255.76485,129.79964,169.82693,161.15588,53.498737,129.51764,104.471725,223.54092,151.85751,237.27861,168.57901,93.490654,178.83084,42.282795,134.24104,209.48715,58.552376,130.23587,198.81667,95.84392,208.5686,219.6063,131.88896,135.35696,89.22119,140.80167,80.63762,175.64902,147.14876,13.052073
